 Chapter_no,title,sect_no,sect_desc,subsec_1,subsec_2,subsec_3,subsec_desc,explanation ,reference
Chapter III,TERM OF COPYRIGHT ,21,Term of copyright in anonymous and pseudonymous work,1,,,"In the 
case of a literary, dramatic, musical or artistic work (other than a Photograph), 
which is published anonymously or pseudonymously copyright shall subsist until 
fifty years from the beginning of the calendar year next following the year in 
which the work is first published: 
Provided that where the identity of the author is disclosed before 
the expiry of the said period, copyright shall subsist until fifty years from the 
beginning of the calendar year next following the year in which the author dies. ",,
Chapter III,TERM OF COPYRIGHT ,21,Term of copyright in anonymous and pseudonymous work,2,,,"In sub-section (1), references to the author shall, in the case of an 
anonymous work of joint authorship, be construed:- ",,
Chapter III,TERM OF COPYRIGHT ,21,Term of copyright in anonymous and pseudonymous work,2,a,,"where the identity of one of the authors is disclosed as 
references to that author; ",,
Chapter III,TERM OF COPYRIGHT ,21,Term of copyright in anonymous and pseudonymous work,2,b,,"where the identity of more authors than one is disclosed, as 
references to the author who dies last from amongst such 
authors.",,
Chapter III,TERM OF COPYRIGHT ,21,Term of copyright in anonymous and pseudonymous work,3,,,"In sub-section (1), references to the author shall, in the case of a 
pseudonymous work of joint authorship, be construed:-","For the propose of this section, the identity of an author 
shall be deemed to have been disclosed, if either the identity of the author is 
disclosed publicly by both the author and the publisher or is otherwise established 
to the satisfaction of the Board but that author. ",
Chapter III,TERM OF COPYRIGHT ,21,Term of copyright in anonymous and pseudonymous work,3,a,,"where the names of one or more (but not all) of the authors 
are pseudonyms and his or their identity is not disclosed, as 
references to the author whose name is not a pseudonym, or, 
of the names of two or more of the author are not 
pseudonyms, as references to such one of those authors who 
dies last; ",,
Chapter III,TERM OF COPYRIGHT ,21,Term of copyright in anonymous and pseudonymous work,3,b,,"where the names of one or more (but not all) of the authors 
are pseudonyms and  the identity of one or more of them is 
disclosed, as references to the author who dies last from 
amongst the authors whose names are not pseudonyms and 
the authors whose names are pseudonyms and are disclosed 
; and ",,
Chapter III,TERM OF COPYRIGHT ,21,Term of copyright in anonymous and pseudonymous work,3,c,,"where the names of all the authors are pseudonyms and the 
identity of one of them is disclosed, as references to the 
author  whose identity is disclosed or, if the identity of two 
or more of such authors is disclosed, as references to such 
one of those authors who dies last. ",,
Chapter III,TERM OF COPYRIGHT ,22,"Term of copyright in Government works and in works of international 
organizations",1,,,"Copyright in a Government work shall, where Government 
is the first owner of the copyright therein, subsist until fifty years from the 
beginning of the calendar year next following the year in which the work is first 
published ",,
Chapter III,TERM OF COPYRIGHT ,22,"Term of copyright in Government works and in works of international 
organizations",2,,,"In the case of a work of an international organization to which the 
provisions of section 53 apply, copyright shall subsist until fifty years from the 
beginning of the calendar year next following the year in which the work is first 
published.",,
Chapter III,TERM OF COPYRIGHT ,23,Term of copyright in unpublished work,1,,,"If a work, whose 
author's identity is known, is not publish posthumously within fifty years after the 
death of the author, such work shall fall into the public domain after fifty years 
from the beginning of the calendar years next following  the year in which the 
author dies.",,
Chapter III,TERM OF COPYRIGHT ,23,Term of copyright in unpublished work,2,,,"If a work, whose author's identity is not known, is not published 
within fifty years of its creation, such work shall fall into the public domain after 
fifty years from the beginning of the calendar year next following the year in 
which the work is created. ",,
Chapter IV,"RIGHTS OF BROADCASTING ORGANIZATIONS PERFORMERS AND 
PRODUCERS OF PHONOGRAMS (SOUND RECORDING)",24,Rights of broadcasting organizations,1,,,"Broadcasting organizations 
shall enjoy the right to authorize:-",,
Chapter IV,"RIGHTS OF BROADCASTING ORGANIZATIONS PERFORMERS AND 
PRODUCERS OF PHONOGRAMS (SOUND RECORDING)",24,Rights of broadcasting organizations,1,a,,the rebroadcasting of their broadcasts: ,,
Chapter IV,"RIGHTS OF BROADCASTING ORGANIZATIONS PERFORMERS AND 
PRODUCERS OF PHONOGRAMS (SOUND RECORDING)",24,Rights of broadcasting organizations,1,b,,the fixation of their broadcasts; and ,,
Chapter IV,"RIGHTS OF BROADCASTING ORGANIZATIONS PERFORMERS AND 
PRODUCERS OF PHONOGRAMS (SOUND RECORDING)",24,Rights of broadcasting organizations,1,c,,the copying of fixations made of their broadcasts.,,
Chapter IV,"RIGHTS OF BROADCASTING ORGANIZATIONS PERFORMERS AND 
PRODUCERS OF PHONOGRAMS (SOUND RECORDING)",24,Rights of broadcasting organizations,2,,,"This right shall subsist until twenty-five years from the beginning of 
the calendar year next following the years in which the broadcast took place. ",,
Chapter IV,"RIGHTS OF BROADCASTING ORGANIZATIONS PERFORMERS AND 
PRODUCERS OF PHONOGRAMS (SOUND RECORDING)",24A,Rights of performers and producers of Phonograms (sound recording),1,,,"The performers shall have the right to do or to prevent fixation of their 
unfixed performance and reproduction of such fixation and broadcasting by 
wireless means and communication to the public of their live performance.",,
Chapter IV,"RIGHTS OF BROADCASTING ORGANIZATIONS PERFORMERS AND 
PRODUCERS OF PHONOGRAMS (SOUND RECORDING)",24A,Rights of performers and producers of Phonograms (sound recording),2,,,"The producers of Phonograms shall have the right to do or to prohibit the 
direct or the indirect reproduction of their fixation and any rental thereof ",,
Chapter IV,"RIGHTS OF BROADCASTING ORGANIZATIONS PERFORMERS AND 
PRODUCERS OF PHONOGRAMS (SOUND RECORDING)",24A,Rights of performers and producers of Phonograms (sound recording),3,,,"The rights specified in subsections (1) and (2) shall subsists for a period of 
fifty  years computed from the end of the calendar year in which fixation was made 
or performance took place   ",,subsections (1) and (2)
Chapter IV,"RIGHTS OF BROADCASTING ORGANIZATIONS PERFORMERS AND 
PRODUCERS OF PHONOGRAMS (SOUND RECORDING)",25,"Application of other provisions of this Ordinance to broadcasting, 
performers and producers of phonograms",,,,"Any person who, without the 
authorization of the broadcasting organization, does or causes the doing of any of 
the acts referred to in section 24 shall be deemed to infringe the rights of the 
broadcasting organization, and the provisions contained in Chapter XII to XVI 
shall, within the limits permitted by the nature of the matter, apply to broadcasting 
organization and broadcasts as if they were authors and works, respectively. ",,
Chapter IV,"RIGHTS OF BROADCASTING ORGANIZATIONS PERFORMERS AND 
PRODUCERS OF PHONOGRAMS (SOUND RECORDING)",26,"
Definitions",a,,,"""broadcast"" means communication to the public by any 
means of radio-diffusion, including communication by telecast, or by wire, or by 
both, and ""broadcasting"" shall be construed according."" ",,
Chapter IV,"RIGHTS OF BROADCASTING ORGANIZATIONS PERFORMERS AND 
PRODUCERS OF PHONOGRAMS (SOUND RECORDING)",26,"
Definitions",b,,,"""rebroadcasting"" means the simultaneous broadcasting by one broadcasting 
organization of the broadcast of author broadcasting organization. ",,
Chapter IV,"RIGHTS OF BROADCASTING ORGANIZATIONS PERFORMERS AND 
PRODUCERS OF PHONOGRAMS (SOUND RECORDING)",26,"
Definitions",c,,,"""fixation"" means the incorporation of sounds or images or both in a device 
by means of which they can later be made aurally or visually perceivable.",,
Chapter IV,"RIGHTS OF BROADCASTING ORGANIZATIONS PERFORMERS AND 
PRODUCERS OF PHONOGRAMS (SOUND RECORDING)",26,"
Definitions",d,,,"“producer of phonogram” means a person who, or the legal entity which, 
fixes the sounds of a performance or other sounds; ",,
Chapter IV,"RIGHTS OF BROADCASTING ORGANIZATIONS PERFORMERS AND 
PRODUCERS OF PHONOGRAMS (SOUND RECORDING)",26,"
Definitions",e,,," “rebroadcasting” means the simultaneous broadcasting by one 
broadcasting organization of the broadcast of an other broadcasting 
organization",,
Chapter IV,"RIGHTS OF BROADCASTING ORGANIZATIONS PERFORMERS AND 
PRODUCERS OF PHONOGRAMS (SOUND RECORDING)",27,Other rights not affected,,,,"For the removal of doubts, it is hereby 
declared that the rights conferred upon broadcasting organizations shall not affect 
the copyright in any literary, dramatic, musical, artistic or cinematographic work, 
or in any record used in the broadcast.",,
Chapter V,RIGHTS IN PUBLISHED EDITIONS OF WORKS,28,Protection of typography and terms of protection,,,,"The publisher of an 
edition of a work shall enjoy the right to authorize the making, by any 
photographic or similar process, of copies, intended for sale in commerce, of the 
typographical arrangement of the edition, and such right shall subsist until twenty
five years from the beginning of the calendar year next following the year in which 
the edition was first published. ",,
Chapter V,RIGHTS IN PUBLISHED EDITIONS OF WORKS,29,"Infringement, etc",,,,"Any person who, without the authorization of the 
publishers, makes or causes the making of, by any photographic or similar process, 
copies, intended for sale in commerce, of the typographical arrangement of the 
edition or any substantial part thereof, shall be deemed to infringe the rights of the 
publishers, and the provisions contained in Chapters XII to XVI shall, within the 
limits permitted by the nature of the matter, apply to the publisher and the 
typographical arrangements of editions as if they were authors and works 
respectively.","""Typographical arrangement"" shall include calligraphy. 
",
Chapter V,RIGHTS IN PUBLISHED EDITIONS OF WORKS,30,Relations to copyright,,,,"For the removal of doubts, it is hereby declared 
that subject to the provisions of subsection (2A) of section 10 the rights conferred 
upon publishers by this Chapter shall:- ",, subsection (2A) of section 10
Chapter V,RIGHTS IN PUBLISHED EDITIONS OF WORKS,30,Relations to copyright,a,,,"subsists irrespective of the question whether the edition is that of 
work protected or unprotected by copyright; ",,
Chapter V,RIGHTS IN PUBLISHED EDITIONS OF WORKS,30,Relations to copyright,b,,,"not affect the copyright, if any, in the literary, dramatic, musical or 
artistic work itself.",,
Chapter VI,PERFORMING RIGHTS SOCIETIES ,31,"Performing rights society to file statement of fees, charges and 
royalties",1,,," Every performing right society shall, within the prescribed time 
and in the prescribed manner, prepare, publish and file with the Registrar, 
statement of all fees, charges, royalties which is proposes to collect for the grant of 
licenses for the performance in public of works it respect of which it has authority 
to grant such licenses.",,
Chapter VI,PERFORMING RIGHTS SOCIETIES ,31,"Performing rights society to file statement of fees, charges and 
royalties",2,,,"If any such society fails, in relation to any work, to prepare, publish or file 
with the Registrar the statements referred to in sub-sub-section (1) in accordance 
with the provisions of the sub-section, no action or other proceeding to enforce any 
remedy, civil or criminal, for infringement of the performing rights in that work 
shall be commenced except with the consent of the Registrar.",,
Chapter VI,PERFORMING RIGHTS SOCIETIES ,32,Objections relating to published statements,,,,"Any person having any 
objections to any fees, charge or royalties or other particulars included in any 
statement referred to in section 31 may at any time lodge such objections in 
writing at the Copyright Office. ",,
Chapter VI,PERFORMING RIGHTS SOCIETIES ,33,Determination of objections. ,1,,,"Every objection lodged, at the 
Copyright Office under section 32 shall, as soon as may be, be referred to the 
Board and the Board shall decide such objection in the manner, hereinafter 
provided. ",,
Chapter VI,PERFORMING RIGHTS SOCIETIES ,33,Determination of objections. ,2,,,"The Board shall not withstanding that no objection has been lodged, take 
notice of any matter which, in its opinion, is one for objection. ",,
Chapter VI,PERFORMING RIGHTS SOCIETIES ,33,Determination of objections. ,3,,,"The Board shall give notice in respect of every objections to the performing 
rights society concerned and shall give to such society and the person who lodged 
the objection a reasonable opportunity of being heard.",,
Chapter VI,PERFORMING RIGHTS SOCIETIES ,33,Determination of objections. ,4,,,"The Board shall, after making the prescribed enquiry, make such alterations 
in the statements as it may think fit, and shall transmit the statements thus altered 
or unchanged, as the case may be, to the Registrar, who shall thereupon as soon as 
practicable after the receipt of such statements, publish them n the official Gazette 
and furnish the performing rights society concerned and the person who lodged the 
objection with a copy thereof. ",,
Chapter VI,PERFORMING RIGHTS SOCIETIES ,33,Determination of objections. ,5,,,"The statement of fees, charges or royalties as approved by the Board shall 
be the fees, charges or royalties which the performing rights society concerned 
may respectively lawfully sue for or collect in respect of the issue or grant by it of 
licenses for the performance in public of works to which such fees, charges or 
royalties relate.",,
Chapter VI,PERFORMING RIGHTS SOCIETIES ,33,Determination of objections. ,6,,," 
No performing rights society shall have any right of action or any right to 
enforce any civil or other remedy for infringement of the performing rights in any 
work claimed by such society against any person who has tendered or paid to such 
society the fees, charges or royalties which have been approved by the Board as 
aforesaid. ",,
Chapter VI,PERFORMING RIGHTS SOCIETIES ,34,Existing rights not affected,,,,"Nothing in this Chapter shall be deemed 
to affect:-",,
Chapter VI,PERFORMING RIGHTS SOCIETIES ,34,Existing rights not affected,a,,,"any rights or liabilities in relation to the performing rights in 
work accrued or incurred before the commencement of this 
Ordinance; and ",,
Chapter VI,PERFORMING RIGHTS SOCIETIES ,34,Existing rights not affected,b ,,,"any legal proceedings in respect of such rights or liabilities 
pending at such commencement. ",,
Chapter VII,LICENSES,35,Licenses by owners of copyright,,,,"The owner of the copyright in any 
existing work or the prospective owner of the copyright in any future work may 
grant any interest in the copyright by license in writing signed by him or by his 
duty authorized agent: 
Provided that in the case of a license relating to copyright in any future 
work, the license shall take effect only when the work comes into existence. "," When a person to whom a license relating to copyright in 
any future work is granted under this section dies before the work comes into 
existence, his legal representatives shall, in the absence of any provision to the contrary in the license, be entitled to the benefit of the license.",
Chapter VII,LICENSES,36,Compulsory license in work withheld from public,1,,,"If at any time 
during the term of copyright in any Pakistani work which has been published or 
performed in public, an application is made to the Board that the owner of the 
copyright in the work- ",,
Chapter VII,LICENSES,36,Compulsory license in work withheld from public,1,a,,"has refused to republish or allow the republication of the work or 
has refused to allow the performance in public of the work and by 
reason of such refusal the work is withheld from the public; or ",,
Chapter VII,LICENSES,36,Compulsory license in work withheld from public,1,b,,"has refused to allow communication to the public by broadcast of 
such work or, in the case of a record the work recorded in such 
record, on terms which the applicant considers reasonable or ",,
Chapter VII,LICENSES,36,Compulsory license in work withheld from public,1,c,,"is dead or is unknown or cannot be traced or found and 
republication of the work is necessary in the public interest; the  
Board, after giving to the owner of the copyright in the work a 
reasonable opportunity of being heard and after holding such 
inquiry as it may deem necessary, may, if it is satisfied that such 
refusal is not in the public interest, or that the grounds for such 
refusal are not reasonable, direct the Registrar to grant to the 
applicant a license to republish the work, perform the work in 
public or communicate the work to the public by radio-diffusion, as 
the case may be, subject to payment to the owner of the copyright 
of such compensation and subject to such other terms and 
conditions as the Board may determine; and thereupon the Registrar 
shall grant the license to the applicant in accordance with the 
direction of the Board, on payment of such fee as may be 
prescribed. ",,
Chapter VII,LICENSES,36,Compulsory license in work withheld from public,2,,,"Where two or more persons have made applications under sub
section (1), the license shall be granted to the applicant who in the 
opinion of the Board, would best serve the interests of the general 
public.",,"sub
section (1)"
Chapter VII,LICENSES,36,Compulsory license in work withheld from public,3,,,"The Federal Government or the Board may, upon an application by 
any governmental or statutory institution in the public interest, 
grant a license to reprint, translate, adopt or publish any text book 
on non-profit basis.",,
Chapter VII,LICENSES,37,License to produce and publish translation,1,,,"Any citizen of 
Pakistan or a person domiciled in Pakistan may apply to the Board for a license to 
produce and publish a translation of a literary or dramatic work in any Pakistani 
language or a language ordinarily used in Pakistan, not being English, French or 
Spanish ",,
Chapter VII,LICENSES,37,License to produce and publish translation,2,,,"Every such application shall be made in such form as may be prescribed 
and shall state the proposed retail price of a copy of the translation of the work. ",,
Chapter VII,LICENSES,37,License to produce and publish translation,3,,,"Every applicant for a license under this section shall, along with his 
application, deposit with the Registrar such fee as may be prescribed.",,
Chapter VII,LICENSES,37,License to produce and publish translation,4,,,"When an application is made to the Board under this section, it may, after 
holding such inquiry as may be prescribed, direct the Registrar to grant to the 
applicant a license, not being an exclusive license, to produce and publish a 
translation of the work in the language mentioned in the application, on condition 
that the applicant shall pay to the owner of the copyright in the work royalties in 
respect of copies of the translation of the work sold to the public, calculated at 
such rate as the Board may, in the circumstances of each case, determine in the 
prescribed manner; 
Provided that no such license shall be granted, unless;  ",,
Chapter VII,LICENSES,37,License to produce and publish translation,4,a,,"a translation of the work in the language mentioned in the application has 
not been published by the owner of the copyright in the work or any person 
authorized by him within one year of the first publication of the work, or if 
a translation has been so published, it has been out of print; ",,
Chapter VII,LICENSES,37,License to produce and publish translation,4,b,,"the applicant has proved to the satisfaction of the Board that he had 
requested and had been denied authorization by the owner of the copyright 
to produce and publish such translation or that he was unable to find the 
owner of the copyright; ",,
Chapter VII,LICENSES,37,License to produce and publish translation,4,c,,"where the applicant is unable to find the owner of the copyright he had sent 
a copy of his request for such authorization to the publisher whose name 
appears from the work not less than two months before the application for 
the license;",,
Chapter VII,LICENSES,37,License to produce and publish translation,4,d,,"the Board is satisfied that the applicant is competent to produce and publish 
a correct translation of the work and possesses the means to pay to the 
owner of the copyright the royalties payable to him under section; ",,
Chapter VII,LICENSES,37,License to produce and publish translation,4,e,,Omitted;,,
Chapter VII,LICENSES,37,License to produce and publish translation,4,f,,"an opportunity of being heard is given wherever practicable to the owner of 
the copyright in the work; ",,
Chapter VII,LICENSES,37,License to produce and publish translation,4,g,,"the Board is satisfied, for reason to be recorded in writing, that the grant of 
the license will be in the public interest. ",,
Chapter VIII,REGISTRATION OF COPYRIGHT,38,"Register of Copyrights, indexes form and inspection of Register",1,,,"The Registrar shall keep at the Copyright Office a register in the prescribed form 
to be called the Register of Copyrights in which shall be entered the names or titles 
of works and the names and addresses of authors, publishers and owners of 
copyright and such other particulars as may be prescribed. ",,
Chapter VIII,REGISTRATION OF COPYRIGHT,38,"Register of Copyrights, indexes form and inspection of Register",2,,,"The Registrar shall also keep such indexes of the Register of Copyrights as 
may be prescribed. ",,
Chapter VIII,REGISTRATION OF COPYRIGHT,38,"Register of Copyrights, indexes form and inspection of Register",3,,,"The Register of Copyright and the indexes thereof kept under this section 
shall at all reasonable times be open to inspection, and any person shall be entitled 
to take copies, of or make extracts from, any such register or index on payment of 
such fee and subject to such conditions as may be prescribed. ",,
Chapter VIII,REGISTRATION OF COPYRIGHT,39,Registration of copyrights,1,,,"The author or publisher of, or the owner 
of or other person interested in the copyright in, any work may make an 
application in the prescribed form accompanied by the prescribed fee to the 
Registrar for entering particulars of the work in the Register of Copyrights. ",,
Chapter VIII,REGISTRATION OF COPYRIGHT,39,Registration of copyrights,2,,,"On receipt of an application in respect of any work under subsection (1), 
the Registrar shall enter the particulars of the work in the Register of Copyrights 
and issue a certificate of such registration to the applicant unless, for reason to be 
recorded in writing, he considers that such entry should not be made in respect of 
any work; 
Provided that in the case of artistic works the Registrar shall not enter the 
particulars of the work in the Register of Copyrights and shall not issue a 
certificate of registration to the applicant unless within one month of the filing of 
the application, or within such extended time as the Registrar may determine, the 
applicant has advertised the work itself in a newspaper as may be prescribed, and 
send two copies thereof to the Registrar and unless within one month thereafter, or 
within such extended time as the Registrar may determined, not exceeding two 
months, the Registrar has not received  any objection to the registration of 
particulars of the work in the Register of Copyrights",,
Chapter VIII,REGISTRATION OF COPYRIGHT,40,"Registration of assignments, etc., of copyrights,",1,,,"Any person 
interested in the grant of an interest in a copyright, either by assignment or license 
may make an application in the prescribed form, accompanied by the prescribed 
fee, the original instrument of such grant and a certified copy thereof, to the 
Registrar for entering the particulars of the grant in the Register of Copyrights. ",,
Chapter VIII,REGISTRATION OF COPYRIGHT,40,"Registration of assignments, etc., of copyrights,",2,,,"On receipt of an application in respect of any work under subsection (1), 
the Registrar shall, after holding such inquiry as he deems fit, enter the particulars 
of the grant in the Register of Copyrights unless, for reasons to be recorded in 
writing, he considers that such entry should not be made in respect of any grant.",,subsection (1)
Chapter VIII,REGISTRATION OF COPYRIGHT,40,"Registration of assignments, etc., of copyrights,",3,,,"The certified copy of the grant shall be retained at the Copyright Office and 
the original shall be returned to the person depositing it, with a certificate of 
registration endorsed thereon or affixed thereto.",,
Chapter VIII,REGISTRATION OF COPYRIGHT,41,"Correction of entries in the Register of Copyright and indexes,     etc.",1,,,"The Registrar may in the prescribed cases and subject to the prescribed 
conditions, amend or alter the Register of Copyrights and the indexes by",,
Chapter VIII,REGISTRATION OF COPYRIGHT,41,"Correction of entries in the Register of Copyright and indexes,     etc.",1,a,,"correcting any error in any name, address or particular; or ",,
Chapter VIII,REGISTRATION OF COPYRIGHT,41,"Correction of entries in the Register of Copyright and indexes,     etc.",1,b,,"correcting any other error which may have arisen therein by 
accidental slip or omission.",,
Chapter VIII,REGISTRATION OF COPYRIGHT,41,"Correction of entries in the Register of Copyright and indexes,     etc.",2,,,"The Board, on application of the Registrar or of any person 
aggrieved, may order the rectification of the Register of Copyrights by-",,
Chapter VIII,REGISTRATION OF COPYRIGHT,41,"Correction of entries in the Register of Copyright and indexes,     etc.",2,a,,"the making of any entry wrongly omitted to be made in the 
Register, or  ",,
Chapter VIII,REGISTRATION OF COPYRIGHT,41,"Correction of entries in the Register of Copyright and indexes,     etc.",2,b,,"the expunging of any entry wrongly made in or, remaining on, the 
Register, or ",,
Chapter VIII,REGISTRATION OF COPYRIGHT,41,"Correction of entries in the Register of Copyright and indexes,     etc.",2,c,,the correction of any error or defect in the Register. ,,
Chapter VIII,REGISTRATION OF COPYRIGHT,42,"Register of Copyrights to be prima facie evidence of particulars 
entered therein",1,,,"The Register of Copyrights and the indexes shall be prima 
facie evidence of the particulars entered therein and documents purporting to be 
copies of any entry therein or extracts therefrom certified by the Registrar and 
sealed with the seal of the Copyright Office shall be admissible in evidence in all 
courts without further proof of production of the original. ",,
Chapter VIII,REGISTRATION OF COPYRIGHT,42,"Register of Copyrights to be prima facie evidence of particulars 
entered therein",2,,,"A certificate of registration of copyright in a work shall be prima 
facie evidence that copyright subsists in the work and that the person shown in the 
certificate as the owner of the copyright is the owner of such copyright. ",,
Chapter IX,"COPYRIGHT OFFICE, REGISTRAR OF COPYRIGHTS  
AND COPYRIGHT BOARD ",43,Copyright Office,1,,,"There shall be established for the purposes of this 
Ordinance an office to be called the Copyright Office. ",,
Chapter IX,"COPYRIGHT OFFICE, REGISTRAR OF COPYRIGHTS  
AND COPYRIGHT BOARD ",43,Copyright Office,2,,,"The Copyright Office shall be under the immediate control of the 
Registrar of Copyrights who shall act under the superintendence and direction of 
the Central Government.",,
Chapter IX,"COPYRIGHT OFFICE, REGISTRAR OF COPYRIGHTS  
AND COPYRIGHT BOARD ",43,Copyright Office,3,,,"The Copyright Office shall have a seal the impression whereof shall 
be judicially noticed.",,
Chapter IX,"COPYRIGHT OFFICE, REGISTRAR OF COPYRIGHTS  
AND COPYRIGHT BOARD ",43A,Branch of Copyright Office,1,,,"There shall be established for the 
purpose of facilitating the registration of copyrights, a Branch of the Copyright 
Office at such place in Pakistan as the Registrar may. with the approval of the 
Federal Government, determine. ",,
Chapter IX,"COPYRIGHT OFFICE, REGISTRAR OF COPYRIGHTS  
AND COPYRIGHT BOARD ",43A,Branch of Copyright Office,2,,,"The Branch Office shall discharge such functions of the Copyright 
Office as may be notified by the Registrar from time to time.",,
Chapter IX,"COPYRIGHT OFFICE, REGISTRAR OF COPYRIGHTS  
AND COPYRIGHT BOARD ",44,Registrar and Deputy Registrars of Copyrights,1,,,"The 
Central 
Government shall, for the purposes of this Ordinance, appoint a Registrar of 
Copyrights and may appoint one or more Deputy Registrars of Copyrights.",,
Chapter IX,"COPYRIGHT OFFICE, REGISTRAR OF COPYRIGHTS  
AND COPYRIGHT BOARD ",44,Registrar and Deputy Registrars of Copyrights,2,,,"The Registrar shall,",,
Chapter IX,"COPYRIGHT OFFICE, REGISTRAR OF COPYRIGHTS  
AND COPYRIGHT BOARD ",44,Registrar and Deputy Registrars of Copyrights,2,i,,"sign all entries made in the Register of Copyrights kept 
under this Ordinance; ",,
Chapter IX,"COPYRIGHT OFFICE, REGISTRAR OF COPYRIGHTS  
AND COPYRIGHT BOARD ",44,Registrar and Deputy Registrars of Copyrights,2,ii,,"sign all certificates of registration of copyrights and certified 
copies under the seal of the Copyright Office;",,
Chapter IX,"COPYRIGHT OFFICE, REGISTRAR OF COPYRIGHTS  
AND COPYRIGHT BOARD ",44,Registrar and Deputy Registrars of Copyrights,2,iii,,"exercise the powers conferred and perform the duties 
imposed upon him by or under this Ordinance;",,
Chapter IX,"COPYRIGHT OFFICE, REGISTRAR OF COPYRIGHTS  
AND COPYRIGHT BOARD ",44,Registrar and Deputy Registrars of Copyrights,2,iv,,be the Secretary of the Copyright Board; and  ,,
Chapter IX,"COPYRIGHT OFFICE, REGISTRAR OF COPYRIGHTS  
AND COPYRIGHT BOARD ",44,Registrar and Deputy Registrars of Copyrights,2,v,,shall perform such other functions as may be prescribed.,,
Chapter IX,"COPYRIGHT OFFICE, REGISTRAR OF COPYRIGHTS  
AND COPYRIGHT BOARD ",44,Registrar and Deputy Registrars of Copyrights,3,,,"A Deputy Registrar of Copyrights shall discharge, under the 
superintendence and direction of the Registrar, such functions of the Registrar 
under this Ordinance as the Registrar may, from time to time, assign to him. ",,
Chapter IX,"COPYRIGHT OFFICE, REGISTRAR OF COPYRIGHTS  
AND COPYRIGHT BOARD ",44,Registrar and Deputy Registrars of Copyrights,4,,,"The Registrar may, with the approval of the Federal Government, 
assign any particular functions of the Registrar under this Ordinance to officers 
other than the Deputy Registrar of Copyrights. ",,
Chapter IX,"COPYRIGHT OFFICE, REGISTRAR OF COPYRIGHTS  
AND COPYRIGHT BOARD ",45,Copyright Board,1,,," The Central Government shall constitute a Board 
to be called the Copyright Board consisting of the following members, namely,",,
Chapter IX,"COPYRIGHT OFFICE, REGISTRAR OF COPYRIGHTS  
AND COPYRIGHT BOARD ",45,Copyright Board,1,i,,a Chairman appointed by the Central Government;,,
Chapter IX,"COPYRIGHT OFFICE, REGISTRAR OF COPYRIGHTS  
AND COPYRIGHT BOARD ",45,Copyright Board,1,ii,,"not less than three and not more than five other members appointed 
by the Central Government after consultation with the 
representative bodies of authors, publishers, cinematograph industry 
and any other interest relating to copyright: 
Provided that adequate representation on the Board shall, as far as 
possible, be given to the resident of each Province; and  ",,
Chapter IX,"COPYRIGHT OFFICE, REGISTRAR OF COPYRIGHTS  
AND COPYRIGHT BOARD ",45,Copyright Board,1,iii,,"the Registrar, ex-officio.",,
Chapter IX,"COPYRIGHT OFFICE, REGISTRAR OF COPYRIGHTS  
AND COPYRIGHT BOARD ",45,Copyright Board,2,,,"The members, including the Chairman of the Board, other than the ex
officio member, shall hold office for such period and on such terms and conditions 
as may be prescribed. ",,
Chapter IX,"COPYRIGHT OFFICE, REGISTRAR OF COPYRIGHTS  
AND COPYRIGHT BOARD ",45,Copyright Board,3,,,"The Chairman shall be a person who is, or has been a Judge of a High 
Court, or is qualified for appointment as such Judge. ",,
Chapter IX,"COPYRIGHT OFFICE, REGISTRAR OF COPYRIGHTS  
AND COPYRIGHT BOARD ",46,Powers and procedure of the Board,1,,,"The Board shall subject to any 
rules that may be made under this Ordinance, have power to regulate its own 
procedure including the fixing of places and times of its sittings. ",,
Chapter IX,"COPYRIGHT OFFICE, REGISTRAR OF COPYRIGHTS  
AND COPYRIGHT BOARD ",46,Powers and procedure of the Board,2,,,"If there is a difference of opinion among the members of the Board in 
respect of any matter coming before it for decision under this Ordinance, the 
opinion of the majority shall prevail: 
Provided that where there is no such majority the opinion of the Chairman 
shall prevail. 
",,
Chapter IX,"COPYRIGHT OFFICE, REGISTRAR OF COPYRIGHTS  
AND COPYRIGHT BOARD ",46,Powers and procedure of the Board,3,,,"The Board may authorize any of its members to exercise any of its powers 
under section 78 and any order made or act done in exercise of any such power by 
the member so authorized shall be deemed to be the order or act, as the case may 
be, of the Board. ",,
Chapter IX,"COPYRIGHT OFFICE, REGISTRAR OF COPYRIGHTS  
AND COPYRIGHT BOARD ",46,Powers and procedure of the Board,4,,,"No act done or proceeding taken by the Board under this Ordinance shall 
by questioned on the ground merely of the existence of any vacancy in, or defect in 
the constitution of the Board. ",,
Chapter IX,"COPYRIGHT OFFICE, REGISTRAR OF COPYRIGHTS  
AND COPYRIGHT BOARD ",46,Powers and procedure of the Board,5,,,"The Board shall be deemed to be a civil court for the purposes of sections 
480 and 482 of the Code of Criminal Procedure, 1898, and all proceedings before 
the Board shall be deemed to be judicial proceedings within the meaning of 
sections 193 and 228 of Pakistan Penal Code (Act XLV of 1860). ",,(Act XLV of 1860)
Chapter IX,"COPYRIGHT OFFICE, REGISTRAR OF COPYRIGHTS  
AND COPYRIGHT BOARD ",46,Powers and procedure of the Board,6,,,"No member of the Board shall take part in any proceedings before the 
Board in respect of any matter in which he has a personal interest.",,
